"","YEAR","id2","EEZgrid","START_LONGITUDE","START_LATITUDE","S"
"460","2003",115,"1 g478",-154.491534715295,57.598428993601,0.438
"461","2005",115,"1 g478",-154.491534715295,57.598428993601,0.408
"462","2007",115,"1 g478",-154.491534715295,57.598428993601,0.577
"463","2009",115,"1 g478",-154.491534715295,57.598428993601,0.549
"464","2011",115,"1 g478",-154.491534715295,57.598428993601,0.528
"465","2013",115,"1 g478",-154.491534715295,57.598428993601,0.408
"466","2015",115,"1 g478",-154.491534715295,57.598428993601,0.423
"467","2017",115,"1 g478",-154.491534715295,57.598428993601,0.318
"468","1990",97,"1 g507",-154.24069645237,56.5800548157453,0.015
"469","1993",97,"1 g507",-154.24069645237,56.5800548157453,0.487
"470","1996",97,"1 g507",-154.24069645237,56.5800548157453,0.472
"471","1999",97,"1 g507",-154.24069645237,56.5800548157453,0.402
"472","2001",97,"1 g507",-154.24069645237,56.5800548157453,0.341
"473","2003",97,"1 g507",-154.24069645237,56.5800548157453,0.558
"474","2005",97,"1 g507",-154.24069645237,56.5800548157453,0.537
"475","2007",97,"1 g507",-154.24069645237,56.5800548157453,0.549
"476","2009",97,"1 g507",-154.24069645237,56.5800548157453,0.582
"477","2011",97,"1 g507",-154.24069645237,56.5800548157453,0.506
"478","2013",97,"1 g507",-154.24069645237,56.5800548157453,0.506
"479","2015",97,"1 g507",-154.24069645237,56.5800548157453,0.582
"480","2017",97,"1 g507",-154.24069645237,56.5800548157453,0.465
"481","1990",81,"1 g536",-154.193803111018,55.7149441413734,0.169
"482","1993",81,"1 g536",-154.193803111018,55.7149441413734,0.136
"483","1996",81,"1 g536",-154.193803111018,55.7149441413734,0.024
"484","1999",81,"1 g536",-154.193803111018,55.7149441413734,0
"485","2001",81,"1 g536",-154.193803111018,55.7149441413734,0.034
"486","2003",81,"1 g536",-154.193803111018,55.7149441413734,0.052
"487","2005",81,"1 g536",-154.193803111018,55.7149441413734,0.007
"488","2007",81,"1 g536",-154.193803111018,55.7149441413734,0.028
"489","2009",81,"1 g536",-154.193803111018,55.7149441413734,0.024
"490","2011",81,"1 g536",-154.193803111018,55.7149441413734,0.042
"491","2013",81,"1 g536",-154.193803111018,55.7149441413734,0.014
"492","2015",81,"1 g536",-154.193803111018,55.7149441413734,0.075
"493","2017",81,"1 g536",-154.193803111018,55.7149441413734,0.084
"494","1990",131,"1 g449",-153.904486499055,58.2300056118081,0.245
"495","1993",131,"1 g449",-153.904486499055,58.2300056118081,0.424
"496","1996",131,"1 g449",-153.904486499055,58.2300056118081,0.274
"497","1999",131,"1 g449",-153.904486499055,58.2300056118081,0.32
"498","2001",131,"1 g449",-153.904486499055,58.2300056118081,0.332
"499","2003",131,"1 g449",-153.904486499055,58.2300056118081,0.411
"500","2005",131,"1 g449",-153.904486499055,58.2300056118081,0.359
"501","2007",131,"1 g449",-153.904486499055,58.2300056118081,0.662
"502","2009",131,"1 g449",-153.904486499055,58.2300056118081,0.461
"503","2011",131,"1 g449",-153.904486499055,58.2300056118081,0.564
"504","2013",131,"1 g449",-153.904486499055,58.2300056118081,0.404
"505","2015",131,"1 g449",-153.904486499055,58.2300056118081,0.499
"506","2017",131,"1 g449",-153.904486499055,58.2300056118081,0.46
"507","1999",147,"1 g420",-153.74589349434,59.2679591151509,0.207
"508","2001",147,"1 g420",-153.74589349434,59.2679591151509,0.107
"509","2003",147,"1 g420",-153.74589349434,59.2679591151509,0.163
"510","2007",147,"1 g420",-153.74589349434,59.2679591151509,0.256
"511","2009",147,"1 g420",-153.74589349434,59.2679591151509,0.288
"512","2011",147,"1 g420",-153.74589349434,59.2679591151509,0.181
"513","2013",147,"1 g420",-153.74589349434,59.2679591151509,0.146
"514","2015",147,"1 g420",-153.74589349434,59.2679591151509,0.199
"515","2017",147,"1 g420",-153.74589349434,59.2679591151509,0.225
"516","1990",148,"1 g421",-152.57538147074,59.3033864160491,0.153
"517","1993",148,"1 g421",-152.57538147074,59.3033864160491,0.454
"518","1996",148,"1 g421",-152.57538147074,59.3033864160491,0.431
"519","1999",148,"1 g421",-152.57538147074,59.3033864160491,0.462
"520","2001",148,"1 g421",-152.57538147074,59.3033864160491,0.389
"521","2003",148,"1 g421",-152.57538147074,59.3033864160491,0.429
"522","2005",148,"1 g421",-152.57538147074,59.3033864160491,0.414
"523","2007",148,"1 g421",-152.57538147074,59.3033864160491,0.503
"524","2009",148,"1 g421",-152.57538147074,59.3033864160491,0.503
"525","2011",148,"1 g421",-152.57538147074,59.3033864160491,0.537
"526","2013",148,"1 g421",-152.57538147074,59.3033864160491,0.472
"527","2015",148,"1 g421",-152.57538147074,59.3033864160491,0.53
"528","2017",148,"1 g421",-152.57538147074,59.3033864160491,0.465
"529","1993",98,"1 g508",-152.588922358587,56.6162592989317,0.273
"530","1996",98,"1 g508",-152.588922358587,56.6162592989317,0.158
"531","1999",98,"1 g508",-152.588922358587,56.6162592989317,0.26
"532","2001",98,"1 g508",-152.588922358587,56.6162592989317,0.213
"533","2003",98,"1 g508",-152.588922358587,56.6162592989317,0.29
"534","2005",98,"1 g508",-152.588922358587,56.6162592989317,0.362
"535","2007",98,"1 g508",-152.588922358587,56.6162592989317,0.162
"536","2009",98,"1 g508",-152.588922358587,56.6162592989317,0.451
"537","2011",98,"1 g508",-152.588922358587,56.6162592989317,0.466
"538","2013",98,"1 g508",-152.588922358587,56.6162592989317,0.386
"539","2015",98,"1 g508",-152.588922358587,56.6162592989317,0.516
"540","2017",98,"1 g508",-152.588922358587,56.6162592989317,0.371
"541","1990",132,"1 g450",-152.543080024858,58.4646109981744,0.159
"542","1993",132,"1 g450",-152.543080024858,58.4646109981744,0.394
"543","1996",132,"1 g450",-152.543080024858,58.4646109981744,0.424
"544","1999",132,"1 g450",-152.543080024858,58.4646109981744,0.366
"545","2001",132,"1 g450",-152.543080024858,58.4646109981744,0.455
"546","2003",132,"1 g450",-152.543080024858,58.4646109981744,0.501
"547","2005",132,"1 g450",-152.543080024858,58.4646109981744,0.534
"548","2007",132,"1 g450",-152.543080024858,58.4646109981744,0.488
"549","2009",132,"1 g450",-152.543080024858,58.4646109981744,0.61
"550","2011",132,"1 g450",-152.543080024858,58.4646109981744,0.484
"551","2013",132,"1 g450",-152.543080024858,58.4646109981744,0.561
"552","2015",132,"1 g450",-152.543080024858,58.4646109981744,0.535
"553","2017",132,"1 g450",-152.543080024858,58.4646109981744,0.569
"554","1993",116,"1 g479",-152.31592521805,57.477297906792,0.501
"555","1996",116,"1 g479",-152.31592521805,57.477297906792,0.356
"556","1999",116,"1 g479",-152.31592521805,57.477297906792,0.516
"557","2001",116,"1 g479",-152.31592521805,57.477297906792,0.444
"558","2003",116,"1 g479",-152.31592521805,57.477297906792,0.545
"559","2005",116,"1 g479",-152.31592521805,57.477297906792,0.59
"560","2007",116,"1 g479",-152.31592521805,57.477297906792,0.524
"561","2009",116,"1 g479",-152.31592521805,57.477297906792,0.604
"562","2011",116,"1 g479",-152.31592521805,57.477297906792,0.595
"563","2013",116,"1 g479",-152.31592521805,57.477297906792,0.509
"564","2015",116,"1 g479",-152.31592521805,57.477297906792,0.59
