"","UniqueID","YEAR","id","EEZ_grid","GEAR_DEPTH","GEAR_TEMPERATURE","START_LONGITUDE","START_LATITUDE","PHpa.fit","PHpa.se","PHpa.low","PHpa.hi","PHcpueFit","PHcpueSE","PHcpueLow","PHcpueHi","PHpredBio","PHstdBio","ATFpa.fit","ATFpa.se","ATFpa.low","ATFpa.hi","ATFcpueFit","ATFcpueSE","ATFcpueLow","ATFcpueHi","ATFpredBio","ATFstdBio","SpatOver"
"71","116_2017","2017",116,"1 g479",94.3333333333333,6.9,-152.315925218051,57.477297906767,0.925984801913759,0.0130838144464945,0.951629078228888,0.90034052559863,5.43759943032348,0.0804847060892686,5.59534945425844,5.27984940638851,5.03513443137445,0.737642825843603,0.982417334091606,0.00459693161474101,0.991427320056498,0.973407348126713,7.95524462088456,0.09470751058341,8.14087134162804,7.76961790014107,7.81537021249599,0.762091343552038,0.562
"72","117_1990","1990",117,"1 g480",180.857142857143,5.55714285714286,-150.914050567202,57.5003123412983,0.231997282522761,0.0391437088441795,0.308718951857353,0.155275613188169,3.44227632261244,0.13507664347246,3.70702654381847,3.17752610140642,0.79859875253853,0.116994024403216,0.821579065885423,0.0384624692526215,0.896965505620562,0.746192626150285,8.15241381338979,0.134063296803821,8.41517787512528,7.8896497516543,6.69785252551621,0.653120107083689,0.076
"73","117_1993","1993",117,"1 g480",160.2,6.38666666666667,-150.914050567202,57.5003123412983,0.424394225448934,0.0441074596052094,0.510844846275145,0.337943604622724,3.97534892087937,0.0925808294607802,4.1568073466225,3.79389049513624,1.68711512616586,0.247160902285733,0.954240069403855,0.0105810294352849,0.974978887097013,0.933501251710696,8.08648055025634,0.0987259491446246,8.2799834105798,7.89297768993288,7.71644376150953,0.752444840584774,0.186
"74","117_1996","1996",117,"1 g480",175.578947368421,5.81578947368421,-150.914050567202,57.5003123412983,0.18773711165127,0.0275847008261347,0.241803125270494,0.133671098032046,3.79910852430064,0.100327146713882,3.99574973185985,3.60246731674143,0.713233661201922,0.104488112582955,0.983414822817333,0.00437253455358068,0.991984990542351,0.974844655092315,7.75881682171613,0.0983267806325295,7.95153731175589,7.56609633167637,7.63013547000011,0.744028757910799,0.078
"75","117_1999","1999",117,"1 g480",172.909090909091,5.51363636363636,-150.914050567202,57.5003123412983,0.244523099971039,0.0339881941722915,0.31113996054873,0.177906239393347,3.77282884443713,0.0987024755554109,3.96628569652573,3.57937199234852,0.922543804701919,0.135151867013623,0.992009350005424,0.00220366172883888,0.996328526993948,0.9876901730169,7.90037327308123,0.0988579449165754,8.09413484511772,7.70661170104474,7.83724415542953,0.764224312574075,0.103
"76","117_2001","2001",117,"1 g480",141.111111111111,6.24444444444444,-150.914050567202,57.5003123412983,0.319274155346715,0.042228709720839,0.40204242639956,0.236505884293871,3.92636355920049,0.0970507274905947,4.11658298508206,3.73614413331893,1.25358640894786,0.183649321331629,0.958446140268218,0.0100349749790342,0.978114691227125,0.938777589309311,7.98488727194776,0.105798147613371,8.19225164126996,7.77752290262555,7.65308438627515,0.74626654959073,0.137
"77","117_2003","2003",117,"1 g480",154.103448275862,6.21379310344828,-150.914050567202,57.5003123412983,0.347216754340652,0.0402989492596907,0.426202694889646,0.268230813791658,4.16063482438545,0.0900740504782999,4.33717996332292,3.98408968544799,1.44464211971981,0.211638817204713,0.984314626191073,0.00383313586709723,0.991827572490584,0.976801679891563,8.43771248228638,0.0963299818471912,8.62651924670688,8.24890571786589,8.30536380790947,0.809871534036616,0.171
"78","117_2005","2005",117,"1 g480",127.457142857143,6.15142857142857,-150.914050567202,57.5003123412983,0.577007926738474,0.0409248229227884,0.65722057966714,0.496795273809809,4.53136285767073,0.085460752436357,4.69886593244599,4.36385978289547,2.61463228780432,0.383041361775802,0.983713002617883,0.00383643163858667,0.991232408629513,0.976193596606253,8.28227367495603,0.0912212969343036,8.46106741694727,8.1034799329648,8.14738030529405,0.794466267684071,0.304
"79","117_2007","2007",117,"1 g480",132.457142857143,5.59142857142857,-150.914050567202,57.5003123412983,0.649659289929662,0.0400018593121537,0.728062934181483,0.57125564567784,4.42707951272367,0.0856356584521255,4.59492540328984,4.25923362215751,2.87609333269821,0.4213451780159,0.97013353458284,0.00664533760896837,0.983158396296418,0.957108672869262,8.14273306256163,0.0943085106399987,8.32757774341602,7.95788838170723,7.89953840714746,0.770298741385058,0.325
"80","117_2009","2009",117,"1 g480",197.5,5.24642857142857,-150.914050567202,57.5003123412983,0.215252609833192,0.0311915400683417,0.276388028367142,0.154117191299243,4.1354847150446,0.104481942753883,4.34026932284221,3.93070010724699,0.890173877838626,0.130409700811464,0.994654409210781,0.00152465209603587,0.997642727319011,0.99166609110255,7.62547683789483,0.0982095404997528,7.81796753727435,7.43298613851532,7.58471415914678,0.739599641071424,0.096
